InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
100079,D048,Daraz Model Car,3,16/03/2021 12:59,904.4,247,Pakistan
100080,D050,Wooden Daraz Jewelry Box,3,02/07/2021 4:15,869.13,983,Pakistan
100081,D015,Daraz Calligraphy Art Piece,5,28/02/2021 9:19,1247.43,339,Pakistan
100082,D050,Wooden Daraz Jewelry Box,7,07/09/2021 18:40,107.12,655,Pakistan
100083,D004,Daraz Calligraphy Art Piece,6,16/05/2021 22:33,1650.21,364,Pakistan
100084,D045,Daraz Wooden Frame,3,28/08/2021 8:44,1846.99,801,Pakistan
100085,D014,Daraz Silk Scarf,4,02/09/2021 18:46,1494.39,424,Pakistan
100086,D035,Wooden Daraz Keychain Set,6,15/03/2021 9:48,514.56,732,Pakistan
100087,D026,Daraz Model Car,1,30/09/2021 13:34,241.3,872,Pakistan
100088,D008,Handcrafted Daraz Decorative Figurine,1,05/06/2021 14:11,994.38,801,Pakistan
100089,D029,Daraz Embroidered Towel,9,30/07/2021 12:19,729.97,637,Pakistan
100090,D036,Daraz Decorative Lamp,1,30/07/2021 16:05,1284.46,923,Pakistan
100091,D035,Daraz Artisanal Clock,9,22/12/2021 21:44,1850.92,591,Pakistan
100092,D021,Daraz Wooden Frame,9,08/09/2021 22:53,1901.13,231,Pakistan
100093,D001,Wooden Daraz Jewelry Box,5,11/01/2021 8:09,297.39,296,Pakistan
100094,D042,Traditional Daraz Pottery Bowl,4,01/07/2021 0:00,1927.44,376,Pakistan
100095,D003,Wooden Daraz Jewelry Box,7,17/04/2021 8:49,1430.32,512,Pakistan
100096,D007,Daraz Embroidered Towel,9,11/01/2021 16:13,362.12,649,Pakistan
100097,D009,Daraz Handmade Notebook,10,21/05/2021 9:33,1629.1,418,Pakistan
100098,D031,Daraz Model Car,9,25/08/2021 4:45,113.38,692,Pakistan
100099,D044,Handcrafted Daraz Decorative Figurine,3,03/05/2021 18:55,1964.14,932,Pakistan
100100,D034,Traditional Daraz Pottery Bowl,5,21/10/2021 10:04,793.36,413,Pakistan
100101,D019,Handwoven Daraz Pashmina Shawl,9,06/08/2021 11:24,1614,475,Pakistan
100102,D050,Traditional Daraz Pottery Bowl,3,06/05/2021 9:25,377.35,460,Pakistan
100103,D020,Handcrafted Daraz Decorative Figurine,1,09/10/2021 13:16,437.18,732,Pakistan
100104,D035,Handcrafted Daraz Decorative Figurine,6,17/08/2021 10:00,1311.27,674,Pakistan
100105,D040,Wooden Daraz Jewelry Box,2,25/10/2021 15:36,893.17,955,Pakistan
100106,D047,Daraz Handmade Notebook,10,21/02/2021 11:22,365.19,522,Pakistan
100107,D014,Handcrafted Daraz Mug,5,08/08/2021 20:34,377.19,388,Pakistan
100108,D011,Daraz Leather Wallet,1,05/02/2021 22:30,1432.96,836,Pakistan
100109,D049,Hand-painted Daraz Ceramic Plate,2,18/02/2021 17:43,124.26,875,Pakistan
100110,D030,Daraz Artisanal Clock,2,25/11/2021 1:30,187.87,679,Pakistan
100111,D039,Daraz Silk Scarf,7,05/12/2021 14:30,1593.42,424,Pakistan
100112,D005,Embroidered Daraz Cushion Cover,4,28/08/2021 22:46,1047.88,423,Pakistan
100113,D021,Daraz Ceramic Vase,1,31/05/2021 20:42,1208.12,560,Pakistan
100114,D045,Hand-painted Daraz Ceramic Plate,7,27/04/2021 5:33,1254.26,603,Pakistan
100115,D009,Miniature Daraz Truck Figurine,1,08/01/2021 9:40,1879.4,610,Pakistan
100116,D016,Daraz Printed T-shirt,8,10/07/2021 6:14,1827.11,448,Pakistan
100117,D003,Daraz Wooden Frame,10,02/05/2021 0:22,519.53,302,Pakistan
100118,D027,Handwoven Daraz Pashmina Shawl,10,14/08/2021 21:19,642.93,672,Pakistan
100119,D031,Handwoven Daraz Pashmina Shawl,4,14/03/2021 15:04,734.4,996,Pakistan
100120,D042,Embroidered Daraz Cushion Cover,3,21/06/2021 6:44,344.46,385,Pakistan
100121,D009,Daraz Artisanal Clock,7,09/10/2021 8:57,1828.96,806,Pakistan
100122,D040,Miniature Daraz Truck Figurine,2,09/12/2021 10:38,1737.27,557,Pakistan
100123,D016,Miniature Daraz Truck Figurine,4,16/09/2021 13:41,1373.07,254,Pakistan
100124,D024,Hand-painted Daraz Ceramic Plate,3,09/09/2021 6:25,1833.28,712,Pakistan
100125,D004,Daraz Silk Scarf,3,17/12/2021 3:50,559.45,482,Pakistan
100126,D046,Daraz Printed T-shirt,7,21/11/2021 10:41,1922.54,907,Pakistan
100127,D031,Wooden Daraz Jewelry Box,9,28/05/2021 9:50,475.23,475,Pakistan
100128,D046,Daraz Handmade Notebook,6,23/08/2021 16:10,1403.21,993,Pakistan
100129,D010,Daraz Printed T-shirt,9,23/11/2021 2:27,993.49,981,Pakistan
100130,D037,Traditional Daraz Pottery Bowl,8,29/01/2021 17:01,1662.69,215,Pakistan
100131,D012,Daraz Handmade Notebook,10,28/06/2021 0:47,1057.48,392,Pakistan
100132,D038,Miniature Daraz Truck Figurine,3,02/02/2021 14:47,909.38,786,Pakistan
100133,D024,Wooden Daraz Jewelry Box,6,26/10/2021 2:37,1163.88,147,Pakistan
100134,D019,Miniature Daraz Truck Figurine,10,09/05/2021 23:20,1116.16,293,Pakistan
100135,D027,Traditional Daraz Pottery Bowl,6,08/04/2021 14:58,794.84,543,Pakistan
100136,D016,Handcrafted Daraz Mug,2,18/07/2021 23:57,1038.79,781,Pakistan
100137,D018,Daraz Model Car,4,26/08/2021 19:01,519.13,761,Pakistan
100138,D048,Daraz Calligraphy Art Piece,5,09/01/2021 6:18,662.46,877,Pakistan
100139,D015,Daraz Calligraphy Art Piece,6,25/05/2021 21:54,373.69,501,Pakistan
100140,D005,Wooden Daraz Keychain Set,5,08/02/2021 11:09,107.55,445,Pakistan
100141,D043,Daraz Handmade Notebook,8,18/10/2021 16:56,171.93,214,Pakistan
100142,D021,Handcrafted Daraz Decorative Figurine,4,07/10/2021 22:05,1816.91,475,Pakistan
100143,D015,Handcrafted Daraz Decorative Figurine,3,22/05/2021 8:25,1848.1,333,Pakistan
100144,D014,Miniature Daraz Truck Figurine,5,22/01/2021 18:29,902.34,480,Pakistan
100145,D047,Handwoven Daraz Pashmina Shawl,10,22/02/2021 0:37,1300.04,769,Pakistan
100146,D034,Daraz Artisanal Clock,5,13/09/2021 21:39,1445.99,319,Pakistan
100147,D020,Hand-painted Daraz Ceramic Plate,3,26/08/2021 10:42,1061.98,594,Pakistan
100148,D010,Daraz Calligraphy Art Piece,4,01/06/2021 13:46,1698.46,340,Pakistan
100149,D004,Daraz Artisanal Clock,4,30/05/2021 4:47,698.81,643,Pakistan
100150,D049,Daraz Ceramic Vase,8,09/03/2021 17:39,1698.37,242,Pakistan
100151,D015,Handcrafted Daraz Decorative Figurine,3,18/01/2021 20:39,423.5,314,Pakistan
100152,D043,Handcrafted Daraz Mug,4,11/07/2021 9:46,376.7,135,Pakistan
100153,D018,Miniature Daraz Truck Figurine,9,13/01/2021 11:00,1777.73,803,Pakistan
100154,D035,Daraz Handmade Notebook,7,17/05/2021 15:34,612.15,855,Pakistan
100155,D011,Embroidered Daraz Cushion Cover,10,11/06/2021 13:49,1808.86,361,Pakistan
100156,D029,Daraz Model Car,10,30/04/2021 11:53,1604.18,889,Pakistan
100157,D001,Daraz Decorative Lamp,5,14/05/2021 21:17,1827.9,611,Pakistan
100158,D035,Daraz Ceramic Vase,6,27/05/2021 18:59,1882.29,409,Pakistan
100159,D016,Hand-painted Daraz Ceramic Plate,9,25/05/2021 12:43,1099.33,346,Pakistan
100160,D031,Handwoven Daraz Pashmina Shawl,8,18/08/2021 15:33,330.39,232,Pakistan
100161,D019,Handwoven Daraz Pashmina Shawl,5,27/05/2021 20:20,1938.06,225,Pakistan
100162,D030,Wooden Daraz Jewelry Box,2,14/02/2021 5:47,378.03,233,Pakistan
100163,D015,Daraz Wooden Frame,3,25/05/2021 20:30,448.55,679,Pakistan
100164,D030,Handcrafted Daraz Decorative Figurine,9,11/07/2021 1:10,187.65,515,Pakistan
100165,D036,Miniature Daraz Truck Figurine,1,18/06/2021 8:55,202.22,165,Pakistan
100166,D040,Daraz Silk Scarf,10,25/02/2021 6:28,733.06,824,Pakistan
100167,D011,Daraz Decorative Lamp,9,05/07/2021 11:05,1967.78,931,Pakistan
100168,D019,Daraz Model Car,9,19/01/2021 23:34,262.3,965,Pakistan
100169,D020,Traditional Daraz Pottery Bowl,6,24/03/2021 14:34,1552.79,118,Pakistan
100170,D029,Wooden Daraz Keychain Set,9,09/03/2021 2:43,415.65,323,Pakistan
100171,D030,Daraz Wooden Frame,9,24/04/2021 10:56,902.39,924,Pakistan
100172,D025,Daraz Embroidered Towel,7,01/03/2021 12:21,339.88,326,Pakistan
100173,D028,Daraz Leather Wallet,2,08/09/2021 15:59,1302.24,807,Pakistan
100174,D027,Daraz Printed T-shirt,7,30/03/2021 13:19,1547.83,535,Pakistan
100175,D002,Embroidered Daraz Cushion Cover,9,22/04/2021 10:41,1053.76,297,Pakistan
100176,D036,Daraz Ceramic Vase,6,12/06/2021 3:59,736.66,760,Pakistan
100177,D011,Traditional Daraz Pottery Bowl,2,25/11/2021 15:29,732.04,257,Pakistan
100178,D015,Daraz Wooden Frame,1,02/09/2021 20:43,656.68,412,Pakistan
100179,D022,Daraz Silk Scarf,2,06/09/2021 10:57,796.72,704,Pakistan
100180,D016,Daraz Silk Scarf,8,10/10/2021 19:28,1512.69,952,Pakistan
100181,D007,Miniature Daraz Truck Figurine,4,03/04/2021 17:31,1940.83,585,Pakistan
100182,D022,Wooden Daraz Jewelry Box,1,05/02/2021 15:34,367.91,897,Pakistan
100183,D018,Hand-painted Daraz Ceramic Plate,3,08/05/2021 15:11,1894.07,680,Pakistan
100184,D033,Handcrafted Daraz Decorative Figurine,7,06/04/2021 14:57,1676.05,584,Pakistan
100185,D019,Handcrafted Daraz Mug,1,20/04/2021 10:38,296.69,720,Pakistan
100186,D003,Wooden Daraz Keychain Set,7,22/11/2021 15:57,1019.99,493,Pakistan
100187,D020,Daraz Leather Wallet,1,17/08/2021 12:18,1512.36,897,Pakistan
100188,D004,Miniature Daraz Truck Figurine,6,04/08/2021 19:56,176.05,910,Pakistan
100189,D023,Daraz Model Car,7,17/12/2021 23:56,817.97,793,Pakistan
100190,D039,Daraz Leather Wallet,1,11/01/2021 15:05,1843.42,874,Pakistan
100191,D039,Daraz Printed T-shirt,9,20/12/2021 11:02,1768.04,202,Pakistan
100192,D027,Daraz Wooden Frame,6,28/08/2021 1:33,442.43,359,Pakistan
100193,D027,Handcrafted Daraz Mug,9,20/08/2021 22:18,102.88,328,Pakistan
100194,D021,Traditional Daraz Pottery Bowl,8,29/03/2021 10:09,1754.79,263,Pakistan
100195,D016,Daraz Ceramic Vase,1,06/04/2021 10:13,1116.93,916,Pakistan
100196,D003,Daraz Embroidered Towel,1,12/08/2021 0:45,729.71,319,Pakistan
100197,D041,Handcrafted Daraz Mug,9,04/07/2021 12:06,1525.95,708,Pakistan
100198,D030,Wooden Daraz Keychain Set,6,05/08/2021 18:44,53.48,455,Pakistan
100199,D025,Hand-painted Daraz Ceramic Plate,9,20/01/2021 11:21,1017.44,430,Pakistan
100200,D048,Daraz Ceramic Vase,3,18/05/2021 8:54,281.86,715,Pakistan
100201,D047,Wooden Daraz Jewelry Box,8,28/04/2021 20:17,1402.89,238,Pakistan
100202,D023,Daraz Model Car,2,02/10/2021 18:23,1870.27,199,Pakistan
100203,D038,Daraz Wooden Frame,6,09/08/2021 1:07,1682.47,664,Pakistan
100204,D047,Daraz Wooden Frame,1,26/12/2021 20:56,1976.96,182,Pakistan
100205,D006,Hand-painted Daraz Ceramic Plate,8,23/10/2021 10:34,969.53,568,Pakistan
100206,D022,Hand-painted Daraz Ceramic Plate,3,16/08/2021 0:33,650.03,398,Pakistan
100207,D036,Handcrafted Daraz Decorative Figurine,1,05/06/2021 18:26,1955.17,674,Pakistan
100208,D021,Daraz Wooden Frame,10,18/01/2021 3:27,668.57,815,Pakistan
100209,D011,Daraz Printed T-shirt,3,04/07/2021 21:48,541.94,358,Pakistan
100210,D016,Miniature Daraz Truck Figurine,9,06/05/2021 6:03,480.2,879,Pakistan
100211,D014,Daraz Leather Wallet,4,14/01/2021 9:19,1110.17,338,Pakistan
100212,D016,Wooden Daraz Keychain Set,5,15/11/2021 14:58,872.78,249,Pakistan
100213,D034,Daraz Ceramic Vase,7,20/07/2021 12:25,744.12,372,Pakistan
100214,D040,Daraz Model Car,4,09/01/2021 12:30,826.65,956,Pakistan
100215,D032,Wooden Daraz Keychain Set,4,25/03/2021 23:14,1630.69,261,Pakistan
100216,D030,Daraz Model Car,4,20/12/2021 19:35,1817.67,648,Pakistan
100217,D044,Wooden Daraz Jewelry Box,4,03/08/2021 1:40,422.13,139,Pakistan
100218,D039,Daraz Silk Scarf,6,13/05/2021 9:59,1663.03,824,Pakistan
100219,D001,Handwoven Daraz Pashmina Shawl,9,24/06/2021 17:32,1126.13,281,Pakistan
100220,D026,Daraz Calligraphy Art Piece,2,26/03/2021 18:40,911.35,859,Pakistan
100221,D022,Daraz Wooden Frame,1,25/12/2021 1:06,1672,360,Pakistan
100222,D009,Daraz Decorative Lamp,2,31/08/2021 6:47,1508.19,315,Pakistan
100223,D010,Daraz Ceramic Vase,1,29/06/2021 22:35,1008.97,224,Pakistan
100224,D001,Traditional Daraz Pottery Bowl,4,04/09/2021 5:13,1063.01,215,Pakistan
100225,D003,Daraz Embroidered Towel,10,09/12/2021 5:03,1776.07,470,Pakistan
100226,D028,Daraz Handmade Notebook,7,02/06/2021 8:56,219.94,147,Pakistan
100227,D048,Daraz Model Car,4,09/10/2021 16:00,802.04,690,Pakistan
100228,D037,Daraz Handmade Notebook,7,18/04/2021 4:19,1005.28,749,Pakistan
100229,D002,Daraz Handmade Notebook,7,04/10/2021 23:22,1279.26,377,Pakistan
100230,D042,Handcrafted Daraz Mug,2,06/05/2021 9:56,484.61,228,Pakistan
100231,D017,Embroidered Daraz Cushion Cover,9,26/10/2021 1:50,771.13,958,Pakistan
100232,D040,Daraz Embroidered Towel,1,10/09/2021 10:28,1868,670,Pakistan
100233,D040,Daraz Silk Scarf,1,30/09/2021 13:33,944.19,590,Pakistan
100234,D004,Daraz Ceramic Vase,3,08/06/2021 23:05,707.38,445,Pakistan
100235,D020,Miniature Daraz Truck Figurine,6,25/07/2021 17:11,1805.75,798,Pakistan
100236,D043,Daraz Calligraphy Art Piece,1,27/09/2021 14:02,1445.01,939,Pakistan
100237,D032,Daraz Decorative Lamp,7,03/06/2021 3:00,838.19,332,Pakistan
100238,D029,Daraz Handmade Notebook,8,16/05/2021 9:34,133.38,576,Pakistan
100239,D036,Wooden Daraz Keychain Set,3,17/09/2021 5:05,596.97,453,Pakistan
100240,D019,Embroidered Daraz Cushion Cover,2,30/11/2021 20:24,826.69,555,Pakistan
100241,D011,Embroidered Daraz Cushion Cover,7,07/09/2021 16:58,1646.55,893,Pakistan
100242,D041,Daraz Leather Wallet,3,08/12/2021 4:04,168.51,630,Pakistan
100243,D037,Daraz Silk Scarf,10,19/04/2021 18:05,903.93,698,Pakistan
100244,D009,Traditional Daraz Pottery Bowl,3,22/09/2021 7:53,1262.9,354,Pakistan
100245,D028,Daraz Ceramic Vase,9,15/09/2021 2:25,1045.25,287,Pakistan
100246,D022,Daraz Model Car,6,02/10/2021 16:27,531.25,889,Pakistan
100247,D045,Hand-painted Daraz Ceramic Plate,8,29/01/2021 2:35,1429.47,819,Pakistan
100248,D044,Hand-painted Daraz Ceramic Plate,1,20/01/2021 5:16,1798.62,126,Pakistan
100249,D019,Daraz Artisanal Clock,8,18/07/2021 3:43,818.93,318,Pakistan
100250,D041,Embroidered Daraz Cushion Cover,1,30/08/2021 16:30,898.74,105,Pakistan
100251,D015,Handcrafted Daraz Decorative Figurine,10,19/04/2021 6:01,1277.11,283,Pakistan
100252,D009,Daraz Ceramic Vase,2,06/10/2021 9:30,1034.4,963,Pakistan
100253,D002,Daraz Silk Scarf,8,10/08/2021 7:45,110.95,806,Pakistan
100254,D012,Daraz Leather Wallet,7,21/01/2021 22:37,1735.51,191,Pakistan
100255,D029,Daraz Printed T-shirt,8,25/01/2021 15:43,1140.32,113,Pakistan
100256,D016,Wooden Daraz Jewelry Box,4,08/01/2021 9:20,497.74,690,Pakistan
100257,D011,Handwoven Daraz Pashmina Shawl,3,18/04/2021 13:34,1666.48,863,Pakistan
100258,D018,Daraz Artisanal Clock,2,07/10/2021 14:50,516.88,100,Pakistan
100259,D015,Hand-painted Daraz Ceramic Plate,5,05/11/2021 23:17,646.48,524,Pakistan
100260,D028,Daraz Embroidered Towel,8,22/11/2021 17:08,693.84,573,Pakistan
100261,D046,Daraz Wooden Frame,10,27/03/2021 14:09,1180.2,741,Pakistan
100262,D049,Hand-painted Daraz Ceramic Plate,2,19/02/2021 19:08,59.14,754,Pakistan
100263,D005,Daraz Wooden Frame,6,28/01/2021 10:45,66.43,735,Pakistan
100264,D020,Daraz Silk Scarf,9,02/03/2021 20:35,1966.98,592,Pakistan
100265,D002,Daraz Silk Scarf,5,08/01/2021 11:55,733.51,984,Pakistan
100266,D037,Daraz Decorative Lamp,8,21/05/2021 17:45,1598.09,931,Pakistan
100267,D050,Daraz Handmade Notebook,8,18/09/2021 7:03,1243.75,741,Pakistan
100268,D019,Handcrafted Daraz Mug,3,16/02/2021 1:55,489.85,578,Pakistan
100269,D028,Wooden Daraz Keychain Set,9,02/04/2021 19:16,1711.74,470,Pakistan
100270,D018,Daraz Calligraphy Art Piece,6,22/10/2021 11:59,912.4,452,Pakistan
100271,D030,Hand-painted Daraz Ceramic Plate,7,31/10/2021 5:40,1959.77,685,Pakistan
100272,D050,Daraz Calligraphy Art Piece,6,17/07/2021 13:19,829.38,823,Pakistan
100273,D023,Daraz Ceramic Vase,3,20/06/2021 12:14,512.7,893,Pakistan
100274,D006,Wooden Daraz Keychain Set,9,04/01/2021 6:52,1726.24,879,Pakistan
100275,D005,Daraz Handmade Notebook,10,07/03/2021 1:07,151.56,466,Pakistan
100276,D015,Daraz Model Car,6,29/10/2021 1:34,691.62,915,Pakistan
100277,D047,Daraz Wooden Frame,2,20/06/2021 16:34,634.51,785,Pakistan
100278,D047,Daraz Silk Scarf,3,13/12/2021 22:23,1380.34,162,Pakistan
100279,D044,Daraz Embroidered Towel,2,17/06/2021 11:07,1477.04,355,Pakistan
100280,D048,Daraz Leather Wallet,10,11/11/2021 21:53,1019.51,232,Pakistan
100281,D033,Daraz Silk Scarf,6,17/04/2021 19:00,461.99,251,Pakistan
100282,D017,Daraz Model Car,3,03/08/2021 16:32,641.93,788,Pakistan
100283,D047,Wooden Daraz Jewelry Box,4,28/06/2021 3:25,1364.38,456,Pakistan
100284,D011,Daraz Calligraphy Art Piece,10,25/08/2021 3:12,1683.12,476,Pakistan
100285,D048,Daraz Wooden Frame,7,26/09/2021 17:34,1227.29,788,Pakistan
100286,D021,Daraz Embroidered Towel,10,08/11/2021 5:45,1393.45,539,Pakistan
100287,D035,Daraz Model Car,3,17/10/2021 21:56,639.62,153,Pakistan
100288,D048,Daraz Printed T-shirt,10,16/02/2021 3:42,142.22,549,Pakistan
100289,D007,Daraz Ceramic Vase,5,07/01/2021 7:41,1575.32,905,Pakistan
100290,D032,Handcrafted Daraz Mug,6,06/05/2021 17:05,1509.14,477,Pakistan
100291,D010,Handwoven Daraz Pashmina Shawl,7,29/04/2021 18:39,448.97,737,Pakistan
100292,D024,Daraz Handmade Notebook,4,23/10/2021 22:40,1792.9,186,Pakistan
100293,D027,Daraz Decorative Lamp,6,23/04/2021 12:06,599.26,235,Pakistan
100294,D025,Handcrafted Daraz Decorative Figurine,9,01/06/2021 3:41,1759.62,283,Pakistan
100295,D033,Miniature Daraz Truck Figurine,7,01/07/2021 10:31,1570.22,122,Pakistan
100296,D011,Handcrafted Daraz Mug,2,05/06/2021 22:07,59.48,354,Pakistan
100297,D025,Embroidered Daraz Cushion Cover,8,30/09/2021 14:28,112.81,516,Pakistan
100298,D031,Daraz Wooden Frame,9,07/05/2021 16:49,1742.94,288,Pakistan
100299,D004,Daraz Calligraphy Art Piece,7,25/10/2021 10:13,1102.45,479,Pakistan
100300,D045,Handcrafted Daraz Decorative Figurine,5,11/01/2021 18:03,628.22,488,Pakistan
100301,D019,Handcrafted Daraz Mug,5,27/05/2021 4:33,282.36,490,Pakistan
100302,D049,Embroidered Daraz Cushion Cover,6,07/01/2021 0:56,1534.26,223,Pakistan
